Date,Day,Month,Year,Days after Collection,Temp,Time,Rep,Bug,Alive,,
10/10/23,10,10,2023,1,-2.5,5.5,1,2M,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,3M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,4M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,5M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,1F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,2F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,3F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,4F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,5F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,1F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,2F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,3F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,4F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,5F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,6F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,7F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,8F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,9F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,10F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,1F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,2F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,3F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,4F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,5F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,6F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,7F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,8F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,9F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,10F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,1F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,2F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,3F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,4F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,5F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,6F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,7F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,8F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,9F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,10F,N,,
