Date Collected,Date Tested,Days,Temp (C) ,Time (min),Rep,Bug,Alive,Odds,Notes
6/4/24,6/5/24,1,-7.5,60,1,5,N,,
6/4/24,6/5/24,1,-7.5,60,1,6,N,,
6/4/24,6/5/24,1,-7.5,60,1,7,N,,
6/4/24,6/5/24,1,-7.5,60,1,8,N,,
6/4/24,6/5/24,1,-7.5,60,1,9,N,,
6/4/24,6/5/24,1,-7.5,60,1,10,N,,
6/4/24,6/5/24,1,-7.5,60,2,1,N,,
6/4/24,6/5/24,1,-7.5,60,2,2,N,,
6/4/24,6/5/24,1,-7.5,60,2,3,N,,
6/4/24,6/5/24,1,-7.5,60,2,4,N,,
6/4/24,6/5/24,1,-7.5,60,2,5,N,,
6/4/24,6/5/24,1,-7.5,60,2,6,N,,
6/4/24,6/5/24,1,-7.5,60,2,7,N,,
6/4/24,6/5/24,1,-7.5,60,2,8,N,,
6/4/24,6/5/24,1,-7.5,60,2,9,N,,
6/4/24,6/5/24,1,-7.5,60,2,10,N,,
6/4/24,6/5/24,1,-7.5,60,3,1,N,,
6/4/24,6/5/24,1,-7.5,60,3,2,N,,
6/4/24,6/5/24,1,-7.5,60,3,3,N,,
6/4/24,6/5/24,1,-7.5,60,3,4,N,,
6/4/24,6/5/24,1,-7.5,60,3,5,N,,
6/4/24,6/5/24,1,-7.5,60,3,6,N,,
6/4/24,6/5/24,1,-7.5,60,3,7,N,,
6/4/24,6/5/24,1,-7.5,60,3,8,N,,
6/4/24,6/5/24,1,-7.5,60,3,9,N,,
6/4/24,6/5/24,1,-7.5,60,3,10,N,,
,,,,,,,,,6/6/24: Nymphs pretty wimpy at this point
,,,,,,,,,Seconds seem more wimpy than firsts
,,,,,,,,,Good amount of extra bugs dead
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
