DateCollected,DateTested,Month,Day,Year,Temp,Time,Rep,Bug,Alive
5/28/24,5/28/24,5,28,2024,-2.5,210,3,7,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,8,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,9,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,10,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,1,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,1,2,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,1,3,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,4,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,5,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,6,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,7,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,1,8,N
5/28/24,5/29/24,5,29,2024,-2.5,240,1,9,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,1,10,N
5/28/24,5/29/24,5,29,2024,-2.5,240,2,1,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,2,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,3,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,4,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,5,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,6,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,7,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,8,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,2,9,N
5/28/24,5/29/24,5,29,2024,-2.5,240,2,10,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,1,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,2,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,3,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,4,N
5/28/24,5/29/24,5,29,2024,-2.5,240,3,5,N
5/28/24,5/29/24,5,29,2024,-2.5,240,3,6,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,7,N
5/28/24,5/29/24,5,29,2024,-2.5,240,3,8,N
5/28/24,5/29/24,5,29,2024,-2.5,240,3,9,Y
5/28/24,5/29/24,5,29,2024,-2.5,240,3,10,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,1,N
6/4/24,6/4/24,6,4,2024,-2.5,270,1,2,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,3,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,4,N
6/4/24,6/4/24,6,4,2024,-2.5,270,1,5,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,6,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,7,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,1,8,N
6/4/24,6/4/24,6,4,2024,-2.5,270,1,9,N
6/4/24,6/4/24,6,4,2024,-2.5,270,1,10,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,1,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,2,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,3,N
6/4/24,6/4/24,6,4,2024,-2.5,270,2,4,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,5,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,6,N
6/4/24,6/4/24,6,4,2024,-2.5,270,2,7,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,8,N
6/4/24,6/4/24,6,4,2024,-2.5,270,2,9,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,2,10,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,1,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,2,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,3,3,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,3,4,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,5,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,6,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,7,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,8,N
6/4/24,6/4/24,6,4,2024,-2.5,270,3,9,Y
6/4/24,6/4/24,6,4,2024,-2.5,270,3,10,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,1,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,1,2,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,3,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,4,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,5,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,1,6,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,7,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,8,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,1,9,N
5/28/24,5/29/24,5,29,2024,-2.5,300,1,10,N
5/28/24,5/29/24,5,29,2024,-2.5,300,2,1,N
5/28/24,5/29/24,5,29,2024,-2.5,300,2,2,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,3,N
5/28/24,5/29/24,5,29,2024,-2.5,300,2,4,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,5,N
5/28/24,5/29/24,5,29,2024,-2.5,300,2,6,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,7,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,8,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,9,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,2,10,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,1,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,2,N
5/28/24,5/29/24,5,29,2024,-2.5,300,3,3,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,4,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,5,N
5/28/24,5/29/24,5,29,2024,-2.5,300,3,6,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,7,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,8,Y
5/28/24,5/29/24,5,29,2024,-2.5,300,3,9,N
5/28/24,5/29/24,5,29,2024,-2.5,300,3,10,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,1,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,1,2,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,3,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,4,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,1,5,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,1,6,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,7,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,8,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,9,N
6/4/24,6/4/24,6,4,2024,-2.5,330,1,10,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,2,1,N
6/4/24,6/4/24,6,4,2024,-2.5,330,2,2,N
6/4/24,6/4/24,6,4,2024,-2.5,330,2,3,N
6/4/24,6/4/24,6,4,2024,-2.5,330,2,4,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,2,5,N
6/4/24,6/4/24,6,4,2024,-2.5,330,2,6,N
6/4/24,6/4/24,6,4,2024,-2.5,330,2,7,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,2,8,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,2,9,Y
6/4/24,6/4/24,6,4,2024,-2.5,330,2,10,Y
6/4/24,6/5/24,6,5,2024,-2.5,330,3,1,Y
6/4/24,6/5/24,6,5,2024,-2.5,330,3,2,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,3,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,4,Y
6/4/24,6/5/24,6,5,2024,-2.5,330,3,5,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,6,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,7,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,8,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,9,N
6/4/24,6/5/24,6,5,2024,-2.5,330,3,10,Y
