Date Tested,Month,Day,Year,Temp,Time,Rep,Bug,Alive
6/24/24,6,24,2024,-2.5,270,2,7,N
6/24/24,6,24,2024,-2.5,270,2,8,N
6/24/24,6,24,2024,-2.5,270,2,9,N
6/24/24,6,24,2024,-2.5,270,2,10,Y
6/24/24,6,24,2024,-2.5,300,1,1,N
6/24/24,6,24,2024,-2.5,300,1,2,Y
6/24/24,6,24,2024,-2.5,300,1,3,N
6/24/24,6,24,2024,-2.5,300,1,4,N
6/24/24,6,24,2024,-2.5,300,1,5,N
6/24/24,6,24,2024,-2.5,300,1,6,N
6/24/24,6,24,2024,-2.5,300,1,7,N
6/24/24,6,24,2024,-2.5,300,1,8,Y
6/24/24,6,24,2024,-2.5,300,1,9,N
6/24/24,6,24,2024,-2.5,300,1,10,N
6/24/24,6,24,2024,-2.5,300,2,1,N
6/24/24,6,24,2024,-2.5,300,2,2,N
6/24/24,6,24,2024,-2.5,300,2,3,N
6/24/24,6,24,2024,-2.5,300,2,4,Y
6/24/24,6,24,2024,-2.5,300,2,5,N
6/24/24,6,24,2024,-2.5,300,2,6,N
6/24/24,6,24,2024,-2.5,300,2,7,Y
6/24/24,6,24,2024,-2.5,300,2,8,N
6/24/24,6,24,2024,-2.5,300,2,9,N
6/24/24,6,24,2024,-2.5,300,2,10,N
6/20/24,6,20,2024,-2.5,330,1,1,N
6/20/24,6,20,2024,-2.5,330,1,2,N
6/20/24,6,20,2024,-2.5,330,1,3,N
6/20/24,6,20,2024,-2.5,330,1,4,N
6/20/24,6,20,2024,-2.5,330,1,5,N
6/20/24,6,20,2024,-2.5,330,1,6,Y
6/20/24,6,20,2024,-2.5,330,1,7,N
6/20/24,6,20,2024,-2.5,330,1,8,N
6/20/24,6,20,2024,-2.5,330,1,9,N
6/20/24,6,20,2024,-2.5,330,1,10,N
6/20/24,6,20,2024,-2.5,330,2,1,N
6/20/24,6,20,2024,-2.5,330,2,2,N
6/20/24,6,20,2024,-2.5,330,2,3,N
6/20/24,6,20,2024,-2.5,330,2,4,Y
6/20/24,6,20,2024,-2.5,330,2,5,Y
6/20/24,6,20,2024,-2.5,330,2,6,N
6/20/24,6,20,2024,-2.5,330,2,7,N
6/20/24,6,20,2024,-2.5,330,2,8,N
6/20/24,6,20,2024,-2.5,330,2,9,N
6/20/24,6,20,2024,-2.5,330,2,10,N
