Date,Month,Day,Year,Temp,Time,Rep,Bug,Gender,Weight,Alive
9/11/24,9,11,2024,-2.5,1,2,9,F,0.45,Y
9/11/24,9,11,2024,-2.5,1,2,10,F,0.75,Y
9/11/24,9,11,2024,-2.5,1,3,1,M,0.28,N
9/11/24,9,11,2024,-2.5,1,3,2,M,0.25,Y
9/11/24,9,11,2024,-2.5,1,3,3,M,0.26,Y
9/11/24,9,11,2024,-2.5,1,3,4,M,0.28,Y
9/11/24,9,11,2024,-2.5,1,3,5,M,0.29,Y
9/11/24,9,11,2024,-2.5,1,3,6,F,0.49,Y
9/11/24,9,11,2024,-2.5,1,3,7,F,0.53,N
9/11/24,9,11,2024,-2.5,1,3,8,F,0.41,Y
9/11/24,9,11,2024,-2.5,1,3,9,F,0.44,Y
9/11/24,9,11,2024,-2.5,1,3,10,F,0.43,Y
9/9/24,9,9,2024,-5,1,1,1,M,0.21,N
9/9/24,9,9,2024,-5,1,1,2,M,0.31,N
9/9/24,9,9,2024,-5,1,1,3,F,0.39,N
9/9/24,9,9,2024,-5,1,1,4,F,0.36,N
9/9/24,9,9,2024,-5,1,1,5,F,0.45,N
9/9/24,9,9,2024,-5,1,1,6,F,0.41,Y
9/9/24,9,9,2024,-5,1,1,7,F,0.43,Y
9/9/24,9,9,2024,-5,1,1,8,F,0.33,N
9/9/24,9,9,2024,-5,1,1,9,F,0.39,N
9/9/24,9,9,2024,-5,1,1,10,F,0.43,N
9/9/24,9,9,2024,-5,1,2,1,F,0.35,Y
9/9/24,9,9,2024,-5,1,2,2,F,0.41,Y
9/9/24,9,9,2024,-5,1,2,3,F,0.31,Y
9/9/24,9,9,2024,-5,1,2,4,F,0.43,N
9/9/24,9,9,2024,-5,1,2,5,F,0.42,Y
9/9/24,9,9,2024,-5,1,2,6,F,0.38,Y
9/9/24,9,9,2024,-5,1,2,7,F,0.39,N
9/9/24,9,9,2024,-5,1,2,8,F,0.41,N
9/9/24,9,9,2024,-5,1,2,9,F,0.34,N
9/9/24,9,9,2024,-5,1,2,10,F,0.46,Y
9/11/24,9,11,2024,-5,1,3,1,M,0.19,N
9/11/24,9,11,2024,-5,1,3,2,M,0.28,Y
9/11/24,9,11,2024,-5,1,3,3,M,0.26,N
9/11/24,9,11,2024,-5,1,3,4,M,0.2,N
9/11/24,9,11,2024,-5,1,3,5,M,0.26,N
9/11/24,9,11,2024,-5,1,3,6,F,0.45,Y
9/11/24,9,11,2024,-5,1,3,7,F,0.33,Y
9/11/24,9,11,2024,-5,1,3,8,F,0.61,Y
9/11/24,9,11,2024,-5,1,3,9,F,0.36,N
9/11/24,9,11,2024,-5,1,3,10,F,0.74,N
9/9/24,9,9,2024,-7.5,1,1,1,F,0.36,N
9/9/24,9,9,2024,-7.5,1,1,2,F,0.3,N
9/9/24,9,9,2024,-7.5,1,1,3,F,0.4,N
9/9/24,9,9,2024,-7.5,1,1,4,F,0.33,N
9/9/24,9,9,2024,-7.5,1,1,5,F,0.39,N
9/9/24,9,9,2024,-7.5,1,1,6,F,0.44,N
9/9/24,9,9,2024,-7.5,1,1,7,F,0.47,N
9/9/24,9,9,2024,-7.5,1,1,8,F,0.28,N
9/9/24,9,9,2024,-7.5,1,1,9,F,0.41,N
9/9/24,9,9,2024,-7.5,1,1,10,F,0.29,N
9/11/24,9,11,2024,-7.5,1,2,1,M,0.23,N
9/11/24,9,11,2024,-7.5,1,2,2,M,0.27,N
9/11/24,9,11,2024,-7.5,1,2,3,M,0.25,N
9/11/24,9,11,2024,-7.5,1,2,4,M,0.32,N
9/11/24,9,11,2024,-7.5,1,2,5,M,0.3,N
9/11/24,9,11,2024,-7.5,1,2,6,F,0.5,N
9/11/24,9,11,2024,-7.5,1,2,7,F,0.52,N
9/11/24,9,11,2024,-7.5,1,2,8,F,0.5,N
9/11/24,9,11,2024,-7.5,1,2,9,F,0.57,N
9/11/24,9,11,2024,-7.5,1,2,10,F,0.5,N
9/11/24,9,11,2024,-7.5,1,3,1,F,0.69,N
9/11/24,9,11,2024,-7.5,1,3,2,F,0.46,N
9/11/24,9,11,2024,-7.5,1,3,3,F,0.4,N
9/11/24,9,11,2024,-7.5,1,3,4,F,0.43,N
9/11/24,9,11,2024,-7.5,1,3,5,F,0.44,N
9/11/24,9,11,2024,-7.5,1,3,6,F,0.47,N
9/11/24,9,11,2024,-7.5,1,3,7,F,0.65,N
9/11/24,9,11,2024,-7.5,1,3,8,F,0.71,N
9/11/24,9,11,2024,-7.5,1,3,9,F,0.42,N
9/11/24,9,11,2024,-7.5,1,3,10,F,0.45,N
